Identificateur;Marque;Modèle;Taille;Puissance;Dispo ?;Prix d’achat;Date d’achat
KA-E-6618-1;Kap;Evo2;66;18;Oui;;
SF-A-6620-1;SF;Axiom;66;20;Oui;;
EX-F-6622-1;Exe;First;66;22;Oui;;
WN-X-6622-3;WNS;Explore W1;66;22;Oui;;
WN-X-6622-2;WNS;Explore W1;66;22;Oui;;
WN-X-6622-4;WNS;Explore W1;66;22;Oui;;
KI-H-6624-1;Kinetic;Honoric;66;24;Non;127;03-2025
WN-X-6628-1;WNS;Explore CB1;66;28;Oui;;
HO-F-6638-1;Hoyt;FX;66;38;Oui;;
WN-D-6818-1;WNS;Delta F2;68;18;Oui;;
KA-E-6818-1;Kap;Evo2;68;18;Oui;;
SM-P-6818-1;Samick;Privilege;68;18;Oui;;
EX-F-6818-1;Exe;First;68;18;Oui;;
SA-M-6818-1;Sanlida;Miracle X7;68;18;Oui;;
KA-E-6818-2;Kap;Evo2;68;18;Oui;;
WN-D-6820-1;WNS;Delta F3;68;20;Oui;;
KA-E-6822-2;Kap;Evo2;68;22;Non;;
KA-E-6822-3;Kap;Evo2;68;22;Oui;;
WN-D-6822-1;WNS;Delta F3;68;22;Non;114;03-2025
WN-D-6822-2;WNS;Delta C3;68;22;Oui;;
WN-D-6824-1;WNS;Delta F3;68;24;Oui;114;03-2025
SA-8-6824-1;Sanlida;Miracle X8;68;24;Oui;219;01-2024
SF-A-6824-1;SF;Axiom;68;24;Oui;;
SA-A-6822-2;Sanlida;Athletics7;68;22;Oui;;
EX-W-6826-1;Exe;Wizard;68;26;Oui;;
WN-D-6826-1;WNS;Delta F3;68;26;Oui;;
SF-F-6826-1;SF;GSF;68;26;Oui;;?
SF-L-6828-1;SF;Elite;68;28;Oui;;
HO-G-6828-1;Hoyt;Gold Medallist;68;28;Oui;;
SF-I-6830-1;SF;Ignio;68;30;Oui;175;03-2025
SF-I-6830-2;SF;Ignio;68;30;Oui;;
KI-H-6830-2;Kinetic;Honoric;68;30;Oui;;
KI-H-6830-3;Kinetic;Honoric;68;30;Non;;
SF-E-6832-2;SF;Evo;68;32;Oui;;
WW-I-6832-1;W&W;InnoPower;68;32;Oui;;
SF-I-6832-1;SF;Ignio;68;32;Non;175;03-2025
EX-M-6832-1;Exe;Master;68;32;Oui;;
KI-H-6832-1;Kinetic;Honoric;68;32;Oui;;
HO-G-6834-1;Hoyt;Gold Medallist;68;34;Oui;;
SA-M-6834-1;Sanlida;Miracle X10;68;34;Oui;;2019
EX-W-6834-1;Exe;Wizard;68;34;Oui;;
SA-8-6836-1;Sanlida;Miracle X8;68;36;Oui;;
SA-M-6836-1;Sanlida;Miracle;68;36;Oui;;
WN-X-7018-2;WNS;Explore B1;70;18;Oui;;
WN-X-7020-3;WNS;Explore W1;70;20;Oui;127;03-2025
WN-X-7020-1;WNS;Explore W1;70;20;Oui;127;03-2025
WN-X-7020-4;WNS;Explore W1;70;20;Oui;127;03-2025
KA-T-7020-1;Kap;T-Rex;70;20;Oui;;
WN-X-7020-2;WNS;Explore W1;70;20;Oui;127;03-2025
WN-X-7020-6;WNS;Explore W1;70;20;Oui;91;03-2025
SF-A-7020-1;SF;Axiom;70;20;Oui;;
WW-P-7022-1;W&W;Premium a;70;22;Oui;;
SA-A-7022-1;Sanlida;Athletics7;70;22;Oui;;
KA-E-7022-1;Kap;Evo2;70;22;Oui;;
WN-X-7024-1;WNS;Explore CB1;70;24;Oui;;
KA-E-7024-1;Kap;Evo2;70;24;Oui;;
SF-F-7026-1;SF;GSF;70;26;Oui;;?
KA-W-7026-1;Kap;Winstorm;70;26;Oui;;?
SA-A-7026-1;Sanlida;Athletics7;70;26;Oui;;
WW-E-7028-1;W&W;Everest Pro;70;28;Oui;;
SF-C-7028-1;SF;CF;70;28;Non;;?
SF-F-7028-1;SF;GSF;70;28;Oui;;?
EX-W-7028-1;Exe;Wizard;70;28;Oui;268.2;09-2019
KA-E-7028-1;Kap;Evo2;70;28;Non;;
EX-W-7028-3;Exe;Wizard;70;28;Oui;;
SF-E-7030-2;SF;Evo;70;30;Oui;;
SF-F-7030-1;SF;G-Fiber Foam;70;30;Oui;;?
SF-E-7030-4;SF;Evo;70;30;Oui;;
SF-I-7030-1;SF;Ignio;70;30;Non;;
WW-W-7032-1;W&W;Winact;70;32;Oui;;
KI-H-7032-1;Kinetic;Honoric;70;32;Oui;;
KA-W-7034-1;Kap;Winstorm;70;34;Oui;;
SF-F-7036-1;SF;G-Fiber Foam;70;36;Oui;;?
KI-H-6620-1;Kinetic;Honoric;66;20;Non;127;03-2025
WN-X-6622-1;WNS;Explore W1;66;22;Non;;
SF-C-6628-1;SF;CF;66;28;Oui;;
SF-A-6818-1;SF;Axiom;68;18;Non;;
CO-V-6818-1;Core;Velora;68;18;Non;;
WN-X-6820-1;WNS;Explore W1;68;20;Non;91;03-2025
WN-X-6820-3;WNS;Explore W1;68;20;Non;;
WN-X-6820-2;WNS;Explore W1;68;20;Non;;
WN-M-6822-1;WNS;Motive;68;22;Non;;
KA-E-6822-1;Kap;Evo2;68;22;Non;;
KI-H-6822-1;Kinetic;Honoric;68;22;Non;;
SA-A-6822-1;Sanlida;Athletics7;68;22;Non;;
WN-M-6824-3;WNS;Motive C5;68;24;Oui;;
WN-M-6824-1;WNS;Motive F5;68;24;Non;;03-2025
KI-H-6824-1;Kinetic;Honoric;68;24;Non;127;03-2025
WW-Y-6828-1;W&W;Synergy;68;28;Non;;
KI-B-6828-1;Kinetic;Bamboo;68;28;Non;;
KI-H-6828-1;Kinetic;Honoric;68;28;Non;;
KI-H-6830-1;Kinetic;Honoric;68;30;Non;;
SF-E-6832-1;SF;Evo;68;32;Non;;01-2025
WW-W-6838-1;W&W;Winact;68;38;Non;;
WN-A-6838-1;WNS;Armato C3;68;38;Non;132.9;
WN-X-7018-1;WNS;Explore B1;70;18;Non;;
WN-X-7020-7;WNS;Explore W1;70;20;Non;;
WN-X-7020-5;WNS;Explore W1;70;20;Non;127;03-2025
SM-P-7020-1;Samick;Privilege;70;20;Non;;
WN-X-7020-8;WNS;Explore W1;70;20;Non;;
WN-M-7022-1;WNS;Motive F5;70;22;Non;;
WN-D-7024-2;WNS;Delta C3;70;24;Non;;
WN-D-7024-1;WNS;Delta F3;70;24;Non;114;03-2025
KA-W-7024-1;Kap;Winstorm;70;24;Non;;
EX-W-7026-1;Exe;Wizard;70;26;Oui;268.2;09-2019
WN-D-7026-1;WNS;Delta F3;70;26;Non;;
EX-W-7028-2;Exe;Wizard;70;28;Non;;
SF-C-7030-1;SF;SHC;70;30;Non;;?
SF-E-7030-1;SF;Evo;70;30;Non;198.9;12-2024
SF-E-7030-3;SF;Evo;70;30;Non;;
SF-F-7032-1;SF;G-Fiber Foam;70;32;Non;;?
SF-E-7032-1;SF;Evo;70;32;Non;;
SF-F-7032-2;SF;G-Fiber Foam;70;32;Oui;;
KI-H-7036-1;Kinetic;Honoric;70;36;Non;;
HO-R-6832-1;Hoyt;RCRV;68;32;Oui;;
HO-R-6836-1;Hoyt;RCRV;68;36;Oui;;
HO-R-6836-2;Hoyt;RCRV;68;36;Oui;;
